,Total_eDNA_.ng.,Total_metaG_DNA_.ng.,eDNA_ng.g.soil,metag_ng.g.soil
T0_A,8632.8,14721.2,1869.86448,31886.1192
T0_B,9286.2,14155,2011.39092,30659.73
T0_C,6870.6,13648.4,1488.17196,29562.4344
T1H2O_A,4296.6,16092,1117.116,41839.2
T1H2O_B,2685.2,9476.4,698.152,24638.64
T1H2O_C,4547.2,10340.6,1182.272,26885.56
T1H2OP_A,2633.4,8910.2,684.684,23166.52
T1H2OP_B,2910.6,8017.8,756.756,20846.28
T1H2OP_C,2970,12367,772.2,32154.2
T1H218O_A,5524.2,9893.6,1436.292,25723.36
T1H218O_B,3524.4,9178.4,916.344,23863.84
T1H218O_C,1932.48,9595.6,502.4448,24948.56
T1H218OP_A,2791.8,12039.2,725.868,31301.92
T1H218OP_B,3069,14900,797.94,38740
T1H218OP_C,4692.6,17880,1220.076,46488
T2H2O_A,6217.2,8140,1429.956,18722
T2H2O_B,7108.2,7696,1634.886,17700.8
T2H2O_C,6672.6,8436,1534.698,19402.8
T2H2OP_A,4752,8140,1140.48,19536
T2H2OP_B,4950,7296.4,1188,17511.36
T2H2OP_C,4672.8,8584,1317.7296,24206.88
T2H218O_A,6534,7992,1528.956,18701.28
T2H218O_B,6732,7400,1575.288,17316
T2H218O_C,6672.6,8436,1548.0432,19571.52
T2H218OP_A,3564,7400,833.976,17316
T2H218OP_B,3821.4,8140,1092.9204,23280.4
T2H218OP_C,3940.2,6808,945.648,16339.2
T3H2O_A,5346,8140,1261.656,19210.4
T3H2O_B,3168,8436,728.64,19402.8
T3H2O_C,3187.8,8140,733.194,18722
T3H2OP_A,2791.8,7844,614.196,17256.8
T3H2OP_B,2950.2,8140,684.4464,18884.8
T3H2OP_C,2772,7888.4,620.928,17670.016
T3H218O_A,3405.6,7548,796.9104,17662.32
T3H218O_B,4217.4,7548,986.8716,17662.32
T3H218O_C,4039.2,6956,945.1728,16277.04
T3H218OP_A,2811.6,8140,663.5376,19210.4
T3H218OP_B,2633.4,6837.6,616.2156,15999.984
T3H218OP_C,2475,6867.2,584.1,16206.592
