"sample","total.reads","mapped.reads","rare.factor"
"T0-R-Dry-soil-A",90075668,2404420,0.767784503135741
"T0-R-Dry-soil-B",83286544,1838336,0.830370653871771
"T0-R-Dry-soil-C",111372108,3227520,0.620969677614435
"T1-R-H218O-A",106683530,1495767,0.648260345341029
"T1-R-H218O-B",101790542,1770444,0.679421689296045
"T1-R-H218O-C",91236802,1143263,0.758013219270881
"T1-R-H218O-P-A",115902138,1714470,0.596699104894855
"T1-R-H218O-P-B",92006158,1535137,0.751674708555921
"T1-R-H218O-P-C",74041670,1569444,0.934051082316215
"T1-R-H2O-A",107698168,1481864,0.642153003011156
"T1-R-H2O-B",90424916,1137310,0.764819090348948
"T1-R-H2O-C",97036426,1162787,0.712708668804434
"T1-R-H2O-P-A",86320484,1249749,0.801185289924927
"T1-R-H2O-P-B",106039512,2073553,0.652197475220369
"T1-R-H2O-P-C",99929976,1777835,0.692071636242563
"T2-R-H218O-A",85178446,1383036,0.811927256808606
"T2-R-H218O-B",99956016,2128532,0.69189134148764
"T2-R-H218O-C",107973762,2409688,0.640513961160305
"T2-R-H218O-P-A",92573772,1744941,0.747065831993969
"T2-R-H218O-P-B",95487804,1547201,0.724267383926852
"T2-R-H218O-P-C",101830210,1973207,0.67915702029879
"T2-R-H2O-A",94829522,1344413,0.729295060666867
"T2-R-H2O-B",109978336,1426605,0.628839319772941
"T2-R-H2O-C",93642202,1278025,0.738542030440506
"T2-R-H2O-P-A",91133412,1414875,0.758873178148976
"T2-R-H2O-P-B",69158702,1227163,1
"T2-R-H2O-P-C",99258320,1472534,0.696754710335617
"T3-R-H218O-A",97989096,1788834,0.705779569596193
"T3-R-H218O-B",89795806,1382633,0.770177417862923
"T3-R-H218O-C",86918210,1679035,0.795675635749977
"T3-R-H218O-P-A",104393428,1592014,0.662481377659138
"T3-R-H218O-P-B",74630172,1244619,0.926685550182036
"T3-R-H218O-P-C",88319824,1451896,0.78304845806758
"T3-R-H2O-A",109373040,1390108,0.632319463736219
"T3-R-H2O-B",116823458,1284967,0.591993279294985
"T3-R-H2O-C",100816068,1401778,0.685988884232224
"T3-R-H2O-P-A",82176982,933325,0.841582403208723
"T3-R-H2O-P-B",89576374,1335827,0.772064093596823
"T3-R-H2O-P-C",84630266,2068997,0.817186395231228
