"","T0.E.Dry.soil.A","T0.E.Dry.soil.B","T0.E.Dry.soil.C","T1.E.H218O.A","T1.E.H218O.B","T1.E.H218O.C","T1.E.H218O.P.A","T1.E.H218O.P.B","T1.E.H218O.P.C","T1.E.H2O.A","T1.E.H2O.B","T1.E.H2O.C","T1.E.H2O.P.A","T1.E.H2O.P.B","T1.E.H2O.P.C","T2.E.H218O.A","T2.E.H218O.B","T2.E.H218O.C","T2.E.H218O.P.A","T2.E.H218O.P.B","T2.E.H218O.P.C","T2.E.H2O.A","T2.E.H2O.B","T2.E.H2O.C","T2.E.H2O.P.A","T2.E.H2O.P.B","T2.E.H2O.P.C","T3.E.H218O.A","T3.E.H218O.B","T3.E.H218O.C","T3.E.H218O.P.A","T3.E.H218O.P.B","T3.E.H218O.P.C","T3.E.H2O.A","T3.E.H2O.B","T3.E.H2O.C","T3.E.H2O.P.A","T3.E.H2O.P.B","T3.E.H2O.P.C"
"NODE_10057_length_2900_cov_49.365584",0.00836976918499399,0.00735641968548185,0,0,7.23405155773489,0,0,0,0,4.03243951428482,0,0,0,0.964171387169515,0,0.0809646683107337,0.127590359605358,0,0,0,0,1.21995300866928,0,0.549244106746284,0,0.485697002413866,0,0,0,0,0,0,0,2.83334656879314,0,0,0,0,0
"NODE_10199_length_5772_cov_12.944121",0,0,0,0,0,0,0,0,0,0.0116780651716746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_11790_length_3562_cov_5.864857",0.00253422194993467,0,0,0,0,0,0,0,0,0.434802977874753,0,0,0,0,0,0.0326279052767601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_12239_length_5179_cov_13.528937",0,0.0017240138935811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_122830_length_1054_cov_1.424084",0.00605783673128809,0.00955652859664841,0,0,0,0,0,0,0,0.222028655020227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_12753_length_4884_cov_18.056844",0,0.00244192820845995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442922304536082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_13154_length_5912_cov_8.461724",0.000750326706314703,0.00300939468119647,0,0,0,0,0,0,0,0.0341829645425146,0,0,0,0,0,0.0772831791139955,0.365366349961149,0,0,0,0,0,0,0.110538808653563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_13280_length_4171_cov_5.306974",0,0.00215619647019409,0,0,0,0,0,0,0,0.0326556020355691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_13568_length_3025_cov_4.281271",0,0.00100522514058339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_13727_length_4747_cov_19.523451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228061158500762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_13776_length_4767_cov_18.254284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340609847139618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
