file                               format  type     num_seqs         sum_len  min_len  avg_len  max_len
T0-E-Dry-soil-A_R1_qcfilter.fq.gz  FASTQ   DNA   349,131,433  48,754,297,616       50    139.6      140
T0-E-Dry-soil-A_R2_qcfilter.fq.gz  FASTQ   DNA   349,131,433  48,391,858,034       50    138.6      140
T0-E-Dry-soil-B_R1_qcfilter.fq.gz  FASTQ   DNA   348,036,138  48,602,733,200       50    139.6      140
T0-E-Dry-soil-B_R2_qcfilter.fq.gz  FASTQ   DNA   348,036,138  48,282,338,679       50    138.7      140
T0-E-Dry-soil-C_R1_qcfilter.fq.gz  FASTQ   DNA     1,540,481     214,590,860       50    139.3      140
T0-E-Dry-soil-C_R2_qcfilter.fq.gz  FASTQ   DNA     1,540,481     212,379,852       50    137.9      140
T1-E-H218O-A_R1_qcfilter.fq.gz     FASTQ   DNA       282,182      36,892,812       50    130.7      140
T1-E-H218O-A_R2_qcfilter.fq.gz     FASTQ   DNA       282,182      36,666,803       50    129.9      140
T1-E-H218O-B_R1_qcfilter.fq.gz     FASTQ   DNA       168,538      21,170,783       50    125.6      140
T1-E-H218O-B_R2_qcfilter.fq.gz     FASTQ   DNA       168,538      21,053,764       50    124.9      140
T1-E-H218O-C_R1_qcfilter.fq.gz     FASTQ   DNA         8,359       1,084,236       50    129.7      140
T1-E-H218O-C_R2_qcfilter.fq.gz     FASTQ   DNA         8,359       1,080,831       50    129.3      140
T1-E-H218O-P-A_R1_qcfilter.fq.gz   FASTQ   DNA        37,642       5,163,835       50    137.2      140
T1-E-H218O-P-A_R2_qcfilter.fq.gz   FASTQ   DNA        37,642       5,128,053       50    136.2      140
T1-E-H218O-P-B_R1_qcfilter.fq.gz   FASTQ   DNA        77,985      10,704,343       50    137.3      140
T1-E-H218O-P-B_R2_qcfilter.fq.gz   FASTQ   DNA        77,985      10,625,859       50    136.3      140
T1-E-H218O-P-C_R1_qcfilter.fq.gz   FASTQ   DNA         8,481       1,058,220       50    124.8      140
T1-E-H218O-P-C_R2_qcfilter.fq.gz   FASTQ   DNA         8,481       1,052,549       50    124.1      140
T1-E-H2O-A_R1_qcfilter.fq.gz       FASTQ   DNA    16,179,181   2,133,555,695       50    131.9      140
T1-E-H2O-A_R2_qcfilter.fq.gz       FASTQ   DNA    16,179,181   2,131,220,984       50    131.7      140
T1-E-H2O-B_R1_qcfilter.fq.gz       FASTQ   DNA       173,579      24,059,843       50    138.6      140
T1-E-H2O-B_R2_qcfilter.fq.gz       FASTQ   DNA       173,579      23,908,145       50    137.7      140
T1-E-H2O-C_R1_qcfilter.fq.gz       FASTQ   DNA        62,231       8,580,685       50    137.9      140
T1-E-H2O-C_R2_qcfilter.fq.gz       FASTQ   DNA        62,231       8,530,518       50    137.1      140
T1-E-H2O-P-A_R1_qcfilter.fq.gz     FASTQ   DNA       494,775      68,705,510       50    138.9      140
T1-E-H2O-P-A_R2_qcfilter.fq.gz     FASTQ   DNA       494,775      68,228,755       50    137.9      140
T1-E-H2O-P-B_R1_qcfilter.fq.gz     FASTQ   DNA       381,521      52,983,212       50    138.9      140
T1-E-H2O-P-B_R2_qcfilter.fq.gz     FASTQ   DNA       381,521      52,618,532       50    137.9      140
T1-E-H2O-P-C_R1_qcfilter.fq.gz     FASTQ   DNA     1,338,175     186,131,550       50    139.1      140
T1-E-H2O-P-C_R2_qcfilter.fq.gz     FASTQ   DNA     1,338,175     184,411,098       50    137.8      140
T2-E-H218O-A_R1_qcfilter.fq.gz     FASTQ   DNA     9,087,636   1,260,204,480       50    138.7      140
T2-E-H218O-A_R2_qcfilter.fq.gz     FASTQ   DNA     9,087,636   1,254,921,738       50    138.1      140
T2-E-H218O-B_R1_qcfilter.fq.gz     FASTQ   DNA     2,939,002     399,885,122       50    136.1      140
T2-E-H218O-B_R2_qcfilter.fq.gz     FASTQ   DNA     2,939,002     398,123,288       50    135.5      140
T2-E-H218O-C_R1_qcfilter.fq.gz     FASTQ   DNA       320,007      42,719,415       50    133.5      140
