"sample","total.reads","total.bp"
"T0.R.Dry.soil.A",90075668,11834008226
"T0.R.Dry.soil.B",83286544,10941212467
"T0.R.Dry.soil.C",111372108,14664635339
"T1.R.H218O.A",106683530,14115593265
"T1.R.H218O.B",101790542,13452858270
"T1.R.H218O.C",91236802,12178593185
"T1.R.H218O.P.A",115902138,15384425920
"T1.R.H218O.P.B",92006158,12090022389
"T1.R.H218O.P.C",74041670,9860805458
"T1.R.H2O.A",107698168,14184082132
"T1.R.H2O.B",90424916,12039113672
"T1.R.H2O.C",97036426,12982099928
"T1.R.H2O.P.A",86320484,11447978942
"T1.R.H2O.P.B",106039512,13909060827
"T1.R.H2O.P.C",99929976,13055838131
"T2.R.H218O.A",85178446,11254199450
"T2.R.H218O.B",99956016,13305064488
"T2.R.H218O.C",107973762,14219168370
"T2.R.H218O.P.A",92573772,11948185427
"T2.R.H218O.P.B",95487804,12402103809
"T2.R.H218O.P.C",101830210,13342381720
"T2.R.H2O.A",94829522,12558329644
"T2.R.H2O.B",109978336,14648191171
"T2.R.H2O.C",93642202,12386425605
"T2.R.H2O.P.A",91133412,12214967954
"T2.R.H2O.P.B",69158702,9160955343
"T2.R.H2O.P.C",99258320,13224017181
"T3.R.H218O.A",97989096,12980889592
"T3.R.H218O.B",89795806,11874713049
"T3.R.H218O.C",86918210,11514948033
"T3.R.H218O.P.A",104393428,13788514748
"T3.R.H218O.P.B",74630172,9562257640
"T3.R.H218O.P.C",88319824,11445709125
"T3.R.H2O.A",109373040,14738888786
"T3.R.H2O.B",116823458,15515699193
"T3.R.H2O.C",100816068,13326533521
"T3.R.H2O.P.A",82176982,10530381322
"T3.R.H2O.P.B",89576374,11618239496
"T3.R.H2O.P.C",84630266,10884593130
