Contig	T0_A Trimmed Mean	T0_B Trimmed Mean	T0_C Trimmed Mean	T1H218OP_A Trimmed Mean	T1H218OP_B Trimmed Mean	T1H218OP_C Trimmed Mean	T1H218O_A Trimmed Mean	T1H218O_B Trimmed Mean	T1H218O_C Trimmed Mean	T1H2OP_A Trimmed Mean	T1H2OP_B Trimmed Mean	T1H2OP_C Trimmed Mean	T1H2O_A Trimmed Mean	T1H2O_B Trimmed Mean	T1H2O_C Trimmed Mean	T2H218OP_A Trimmed Mean	T2H218OP_B Trimmed Mean	T2H218OP_C Trimmed Mean	T2H218O_A Trimmed Mean	T2H218O_B Trimmed Mean	T2H218O_C Trimmed Mean	T2H2OP_A Trimmed Mean	T2H2OP_B Trimmed Mean	T2H2OP_C Trimmed Mean	T2H2O_A Trimmed Mean	T2H2O_B Trimmed Mean	T2H2O_C Trimmed Mean	T3H218OP_A Trimmed Mean	T3H218OP_B Trimmed Mean	T3H218OP_C Trimmed Mean	T3H218O_B Trimmed Mean	T3H218O_C Trimmed Mean	T3H2OP_A Trimmed Mean	T3H2OP_B Trimmed Mean	T3H2OP_C Trimmed Mean	T3H2O_A Trimmed Mean	T3H2O_B Trimmed Mean	T3H2O_C Trimmed Mean
NODE_10057_length_2900_cov_49.365584	93.87601	74.67286	76.18659	149.06502	65.50081	74.233444	449.2601	399.3017	784.5634	1813.6926	3007.448	1120.2957	139.95436	181.42003	141.1357	441.7835	129.05089	134.38692	1165.0416	282.55695	1090.2197	88.132065	70.33118	134.48222	922.5267	798.4742	198.84734	31.800484	41.40711	86.76009	198.8748	184.82593	97.05735	64.56866	500.83844	663.14984	133.52342	108.95113
NODE_101733_length_1187_cov_7.590993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.487701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_10199_length_5772_cov_12.944121	0	0	0	0	0	0	0	0	0	198.93222	169.96799	68.965416	36.52332	22.22569	0	0	0	0	23.040316	0	0	18.241106	20.005533	7.7934785	20.717392	51.18676	8.223716	0	0	0	0	50.992096	0	0	0	19.108301	0	0
NODE_10265_length_6235_cov_13.261571	0	0	0	0	0	0	69.45134	40.90761	0	51.380867	58.416653	45.62589	22.669163	35.48932	0	0	8.533687	20.838598	46.621326	11.121782	50.054043	12.656747	12.904875	31.74968	6.328647	11.354209	4.569655	0	0	0	0	16.634472	0	0	0	0	0	0
NODE_103072_length_1402_cov_1.132771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.055851	11.412234	0	1.2890071	0	0	0	0	0	0	51.47429	0	0	0	0	0	0
NODE_10338_length_5618_cov_14.936220	0	0	0	0	0	0	0	0	0	25.470743	85.565216	0	0	0	0	0	0	0	61.00752	0	28.772247	0	0	0	0	23.976229	0	0	0	0	0	0	0	0	0	0	0	0
NODE_104767_length_1164_cov_5.176526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.67396	0	15.745076	0	0	0	0	7.188184	0	0	0	0	0	0	0	0	0	0	0	0
NODE_105347_length_1273_cov_6.166951	0	0	0	0	0	0	0	72.34322	0	15.818991	0	0	0	0	0	0	0	0	4.4530168	0	23.87735	0	0	0	0	7.331355	0	0	0	0	0	0	0	0	0	0	0	0
NODE_105611_length_1271_cov_4.700512	0	0	0	0	0	0	0	0	119.86819	0	0	0	0	0	0	0	0	0	0	0	23.827553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_10577_length_2459_cov_11.841525	0	0	0	0	0	19.171717	0	0	0	0	0	0	0	0	0	0	10.27417	0	9.572391	5.05772	10.415585	0	0	0	0	0	0	0	0	0	0	0	6.007215	0	0	0	0	0
NODE_105997_length_1268_cov_4.350727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.045635	17.37897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_106398_length_1371_cov_1.804245	0	0	0	0	0	15.533212	0	0	0	0	0	0	0	0	0	0	0	16.33849	0	5.020018	14.957233	6.7060966	6.2156506	6.7643313	0	0	0	0	0	0	0	0	0	0	0	0	0	0
