Contig	T0_A Read Count	T0_B Read Count	T0_C Read Count	T1H218OP_A Read Count	T1H218OP_B Read Count	T1H218OP_C Read Count	T1H218O_A Read Count	T1H218O_B Read Count	T1H218O_C Read Count	T1H2OP_A Read Count	T1H2OP_B Read Count	T1H2OP_C Read Count	T1H2O_A Read Count	T1H2O_B Read Count	T1H2O_C Read Count	T2H218OP_A Read Count	T2H218OP_B Read Count	T2H218OP_C Read Count	T2H218O_A Read Count	T2H218O_B Read Count	T2H218O_C Read Count	T2H2OP_A Read Count	T2H2OP_B Read Count	T2H2OP_C Read Count	T2H2O_A Read Count	T2H2O_B Read Count	T2H2O_C Read Count	T3H218OP_A Read Count	T3H218OP_B Read Count	T3H218OP_C Read Count	T3H218O_B Read Count	T3H218O_C Read Count	T3H2OP_A Read Count	T3H2OP_B Read Count	T3H2OP_C Read Count	T3H2O_A Read Count	T3H2O_B Read Count	T3H2O_C Read Count
NODE_10057_length_2900_cov_49.365584	2010	1652	1624	2943	1296	1516	9117	7986	15480	36650	59984	22219	2781	3585	2761	8791	2599	2718	23392	5704	21540	1764	1405	2638	18535	16001	3949	622	847	1776	3964	3762	1972	1283	9948	13281	2637	2165
NODE_101733_length_1187_cov_7.590993	0	0	42	0	0	38	174	0	0	0	95	0	0	0	0	0	0	26	229	9	94	0	6	0	0	0	0	3	6	0	0	32	0	0	42	0	54	10
NODE_10199_length_5772_cov_12.944121	51	174	46	45	2	38	48	72	130	8044	6963	2829	1534	962	514	38	97	0	981	181	355	746	829	330	849	2111	336	12	0	196	16	2176	326	0	536	818	142	199
NODE_10265_length_6235_cov_13.261571	135	73	0	190	50	161	3063	2053	857	2278	2664	2086	1053	1634	694	118	408	944	2047	508	2206	569	596	1415	290	502	208	134	160	125	244	792	206	98	123	100	161	94
NODE_103072_length_1402_cov_1.132771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	38	107	36	12	0	4	0	0	0	0	484	37	0	32	13	30	98
NODE_10338_length_5618_cov_14.936220	58	0	0	0	0	15	407	0	776	1035	3369	1124	274	141	59	0	12	0	2405	194	1170	100	189	220	100	971	97	4	0	24	47	143	22	0	237	282	0	0
NODE_104767_length_1164_cov_5.176526	0	0	0	0	0	0	0	0	217	20	180	29	0	0	0	0	12	0	145	0	118	0	0	0	0	58	19	0	0	0	11	0	0	0	18	83	0	0
NODE_105347_length_1273_cov_6.166951	52	0	13	0	0	0	74	630	0	137	212	129	0	0	2	0	34	24	39	24	201	4	31	36	17	66	24	0	4	0	4	59	31	34	0	87	0	49
NODE_105611_length_1271_cov_4.700512	0	0	0	0	0	0	0	19	992	55	15	129	0	0	0	0	5	0	28	8	202	3	0	0	7	16	8	0	0	0	0	3	0	0	0	0	0	3
NODE_10577_length_2459_cov_11.841525	64	222	127	30	104	319	131	107	215	29	37	80	125	26	67	124	176	57	168	86	176	6	3	53	0	21	6	15	18	17	39	49	108	27	24	62	66	75
NODE_105997_length_1268_cov_4.350727	0	0	0	0	0	0	0	2	0	18	81	0	0	0	0	0	0	0	43	111	146	0	0	0	1	0	0	0	0	0	32	0	0	0	0	0	0	0
NODE_106398_length_1371_cov_1.804245	52	0	9	50	87	144	44	0	0	150	86	0	19	50	55	19	42	152	61	50	136	64	57	59	22	52	9	11	6	0	2	94	93	75	8	0	99	86
NODE_106985_length_1154_cov_2.474882	0	0	0	0	0	0	86	144	0	19	64	220	0	0	0	0	0	0	80	35	75	0	0	0	4	41	14	0	0	0	0	0	0	0	0	0	0	0
NODE_109714_length_1011_cov_2.111842	0	0	0	0	0	0	0	127	0	109	88	43	0	0	0	0	0	0	177	52	93	0	0	0	6	85	11	0	0	0	32	0	0	0	0	0	0	0
NODE_109814_length_1160_cov_7.349670	0	0	0	0	54	72	50	0	0	52	77	0	19	29	53	0	42	106	34	48	113	12	74	169	23	21	9	11	22	56	8	205	116	0	4	0	21	82
NODE_1111_length_2365_cov_216.589144	51	0	84	437	1278	234	0	60	13498	16	2	0	0	0	66	360	1093	448	14	237	219	0	6	32	0	0	0	154	51	30	71	0	48	103	0	0	0	24
NODE_111360_length_1329_cov_1.439837	264	0	9	6	67	147	28	137	251	214	204	72	102	96	91	30	64	112	45	14	150	46	13	90	6	24	2	21	10	32	25	31	80	66	83	3	130	128
NODE_112399_length_1142_cov_5.827421	0	0	2	0	49	60	76	123	0	65	7	97	0	0	0	10	57	58	14	34	202	20	34	182	16	23	14	18	27	27	27	0	50	49	27	76	89	21
NODE_114170_length_1068_cov_3.006192	37	0	105	0	0	106	63	35	414	209	74	2	42	29	39	36	83	29	84	22	128	5	79	111	15	54	12	3	23	5	30	67	22	12	24	0	1	219
NODE_11709_length_5702_cov_13.506157	44	506	96	812	383	566	2267	845	0	181	427	199	398	671	528	151	1996	1079	1675	120	2266	141	337	805	3	145	20	188	127	118	53	582	266	122	338	437	310	86
NODE_11790_length_3562_cov_5.864857	217	107	148	541	140	113	573	332	789	1520	1789	2201	525	110	180	222	713	765	1617	379	1114	192	320	755	451	2184	627	240	126	185	751	391	186	149	1256	917	319	493
NODE_11800_length_5672_cov_30.526287	0	0	0	0	124	430	563	512	526	541	688	313	104	0	42	200	172	226	1046	502	6008	30	10	264	249	216	113	78	14	114	275	498	102	19	248	460	40	0
NODE_118591_length_1072_cov_5.450154	0	0	0	0	0	0	226	130	0	138	140	6	0	0	6	0	0	4	151	39	101	9	8	8	8	41	31	0	0	0	5	5	0	0	0	51	0	0
NODE_118950_length_1070_cov_5.016478	86	0	24	0	0	44	0	0	83	108	58	0	15	0	0	0	13	38	128	13	77	17	14	79	3	17	10	5	18	15	18	0	40	28	6	27	0	0
NODE_119103_length_1069_cov_6.097938	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	24	0	159	6	29	0	0	38	0	6	2	15	23	0	0	0	0	0	0	0	0	18
