Header,Estimated Weight (Da)
>NODE_10057_length_2900_cov_49.365584,896416.0
>NODE_101733_length_1187_cov_7.590993,367488.4
>NODE_10199_length_5772_cov_12.944121,1778912.4
>NODE_10265_length_6235_cov_13.261571,1928682.0
>NODE_103072_length_1402_cov_1.132771,433531.4
>NODE_10338_length_5618_cov_14.936220,1724813.6
>NODE_104767_length_1164_cov_5.176526,356647.8
>NODE_105347_length_1273_cov_6.166951,394425.6
>NODE_105611_length_1271_cov_4.700512,392683.2
>NODE_10577_length_2459_cov_11.841525,754474.8
>NODE_105997_length_1268_cov_4.350727,390513.6
>NODE_106398_length_1371_cov_1.804245,419901.2
>NODE_106985_length_1154_cov_2.474882,357227.8
>NODE_109714_length_1011_cov_2.111842,313831.2
>NODE_109814_length_1160_cov_7.349670,359683.0
>NODE_1111_length_2365_cov_216.589144,732371.0
>NODE_111360_length_1329_cov_1.439837,408557.8
>NODE_112399_length_1142_cov_5.827421,354803.4
>NODE_114170_length_1068_cov_3.006192,329928.6
>NODE_11709_length_5702_cov_13.506157,1766740.4
>NODE_11790_length_3562_cov_5.864857,1103401.4
>NODE_11800_length_5672_cov_30.526287,1752509.4
>NODE_118591_length_1072_cov_5.450154,331977.4
>NODE_118950_length_1070_cov_5.016478,330853.0
>NODE_119103_length_1069_cov_6.097938,331238.8
>NODE_11979_length_2555_cov_18.592427,789993.0
>NODE_119898_length_1071_cov_1.291152,329179.2
>NODE_120430_length_1165_cov_12.787992,358905.0
>NODE_12097_length_5577_cov_16.362359,1717018.4
>NODE_121644_length_1250_cov_2.725456,386393.0
>NODE_12219_length_4646_cov_84.531559,1426079.2
>NODE_12239_length_5179_cov_13.528937,1600701.8
>NODE_122830_length_1054_cov_1.424084,326833.8
>NODE_122842_length_1076_cov_6.723644,333583.2
>NODE_123485_length_1147_cov_5.527672,356410.4
>NODE_12365_length_4981_cov_9.190701,1547250.2
>NODE_12408_length_5480_cov_9.002602,1696059.0
>NODE_12753_length_4884_cov_18.056844,1510042.8
>NODE_12771_length_3452_cov_6.121384,1064366.4
>NODE_128015_length_1120_cov_5.197845,344753.0
>NODE_128462_length_1017_cov_3.542484,316068.4
>NODE_129462_length_1112_cov_4.916091,345777.4
>NODE_12992_length_2424_cov_9.478710,743814.8
>NODE_13154_length_5912_cov_8.461724,1836291.4
>NODE_13280_length_4171_cov_5.306974,1285361.2
>NODE_13441_length_4460_cov_6.091034,1378522.0
>NODE_134462_length_1085_cov_4.004057,337289.0
>NODE_134470_length_1014_cov_4.336612,312423.8
>NODE_13568_length_3025_cov_4.281271,937520.0
>NODE_13727_length_4747_cov_19.523451,1472731.4
>NODE_13773_length_4625_cov_31.436368,1434351.0
>NODE_13776_length_4767_cov_18.254284,1475767.4
>NODE_138335_length_1113_cov_5.523669,343596.6
>NODE_138463_length_1064_cov_5.703627,330360.8
>NODE_13853_length_3463_cov_2.332937,1071480.6
>NODE_13905_length_2654_cov_13.046575,820685.8
>NODE_13919_length_4699_cov_8.459348,1442563.8
>NODE_13975_length_4577_cov_21.966280,1418807.4
>NODE_14060_length_5629_cov_5.537432,1732816.8
>NODE_14107_length_5616_cov_6.071959,1737499.2
>NODE_141300_length_1098_cov_2.515516,339283.6
>NODE_14421_length_4159_cov_21.874138,1285573.8
>NODE_14469_length_3929_cov_3.495822,1218175.8
>NODE_14719_length_4527_cov_9.729223,1395867.4
>NODE_147206_length_1099_cov_1.194000,340021.8
>NODE_149349_length_1057_cov_4.052192,328663.4
>NODE_149867_length_1010_cov_7.612514,309786.0
>NODE_150218_length_1084_cov_1.302538,334821.8
>NODE_15696_length_4668_cov_16.225432,1437779.6
>NODE_16115_length_4586_cov_14.616002,1412679.2
>NODE_16508_length_2062_cov_29.995415,636048.4
>NODE_16515_length_4193_cov_4.777479,1291523.6
>NODE_16626_length_3031_cov_4.094816,937869.2
>NODE_16671_length_4478_cov_11.406257,1388738.6
>NODE_1714_length_3675_cov_44.300056,1135958.0
>NODE_17231_length_2049_cov_13.643077,631179.8
>NODE_17458_length_4342_cov_9.743106,1345160.4
>NODE_17632_length_4845_cov_3.645386,1498669.0
>NODE_17734_length_4821_cov_4.477552,1490730.2
>NODE_18404_length_1389_cov_10.031783,431674.8
>NODE_18485_length_4691_cov_2.798780,1456070.2
>NODE_18667_length_3573_cov_6.956534,1103865.6
>NODE_18795_length_4586_cov_9.453087,1416074.2
>NODE_19317_length_2589_cov_2.414056,798678.8
>NODE_20184_length_2513_cov_4.243579,776446.6
>NODE_21465_length_4232_cov_2.426809,1309212.4
>NODE_21802_length_3715_cov_9.644358,1147315.0
>NODE_22064_length_1113_cov_13.620316,343138.6
>NODE_22175_length_1703_cov_12.389651,530528.6
>NODE_22252_length_3348_cov_9.643583,1029160.6
>NODE_22281_length_1940_cov_8.971754,598719.0
>NODE_23283_length_3550_cov_8.038250,1103586.0
>NODE_23620_length_3057_cov_6.491886,946675.4
>NODE_23987_length_3913_cov_3.565548,1208614.6
>NODE_24662_length_3781_cov_11.038023,1167698.2
>NODE_25230_length_2686_cov_3.967143,832750.2
>NODE_25839_length_3027_cov_6.903689,930676.4
>NODE_25855_length_2243_cov_2.022854,693969.6
>NODE_25908_length_3298_cov_11.928728,1018918.6
>NODE_2637_length_5026_cov_31.537447,1540648.2
